,Papallacta_sigmoid,Mica_sigmoid,Orientales_sigmoid,Occidentales_sigmoid,Bellavista_sigmoid,Puengasi_sigmoid,El Placer_sigmoid,El Troje_sigmoid,Paluguillo_sigmoid,Norte_sigmoid,Centro_sigmoid,Sur_sigmoid,Parroquias Norte_sigmoid,Parroquias Sur_sigmoid,Parroquiales Orientales_sigmoid
2024-12-31,144480.45328606383,2751.7236242228864,36345.696277662246,36042.247035949345,127416.02203767915,26871.106611268686,21614.851776171854,9502.023031607416,25963.137455505763,75302.86902426674,42173.92956438078,17715.12746180644,11862.431651707595,18760.545309316134,40378.14568579482
2025-01-31,151891.76950748303,4735.324250309727,36554.50027542865,35887.71867128578,133454.1599090006,27878.517507100216,21625.896406660202,10566.435555808506,27294.950980494767,78871.40850621871,43083.23347064078,18813.586518282973,12424.582287527943,19838.728069813424,42390.20348092717
2025-02-28,125646.27037867851,5735.539744203327,25875.27590286048,27196.136591454462,109775.61702645586,20767.238904483675,16355.756221150325,8855.97623242412,22578.634787048744,64877.389662634894,32300.464341142266,15387.252000090655,10220.10994516296,16175.930416951203,34991.98028702083
2025-03-31,90043.50063664123,4541.167845538261,12686.856349662388,11560.399275538844,76699.42539195411,10931.860272077973,7146.47454857306,5129.377933086521,16180.817064404057,45329.360406643704,15773.135825148858,9487.45345091426,7140.716503990797,10603.128914754601,24842.461620584625
2025-04-30,63751.77148794366,2295.644895140203,2892.8905862463403,1627.5790957106717,52674.53084824946,3038.9892612264116,1144.5005061330025,1762.923474728715,11456.193336383456,31130.647731315843,3676.9856813846804,4869.585723817781,4903.998821971883,6256.567217294904,17394.98478282075
2025-05-31,70398.98417532298,2249.3267053652953,7794.245669486607,1486.8925883509091,58089.61993355171,6481.717692268394,1386.5126230750955,2481.2622127669365,12650.697456305299,34330.965380729474,6956.130445967145,5733.702937297072,5408.143615813735,7375.91327404392,19199.53852839148
2025-06-30,91073.99486771126,2186.0654193957034,10105.710616349226,4857.870344959808,75878.74917275921,8087.343909760382,3324.54735358873,3034.3954698268167,16365.996877727728,44844.34076110035,10019.515099669728,7561.374526203439,7064.311547983655,9527.696866548105,24924.822442729426
2025-07-31,104177.09566194771,3728.129044511499,23708.624014402696,12125.11979806162,88427.8930030498,18366.286806970893,8130.209660371452,6432.519767941949,18720.624090452136,52260.88476480255,23241.88185289077,11258.258623083095,8232.636838583832,12937.521287918098,28704.906906754626
2025-08-31,126041.70286033579,5970.612836500637,42920.153055093055,23994.995281227082,109304.34850257216,32911.34879804707,15772.973517184666,11376.047899209081,22649.694004002176,64598.86996502025,42660.18325736749,16902.68178640439,10176.234845589614,18127.05597542613,35004.99470064485
2025-09-30,147593.33294262434,7505.783117101788,63970.34856457764,38489.252453868176,130576.35291444206,48448.80824213781,24900.696537942425,16410.200911215547,26522.52192978954,77170.6245724349,64213.20072366656,22833.81248153415,12156.658456334688,23480.09252536703,41297.46292070381
2025-10-31,169244.66759647598,7561.5352404835285,74340.7447897296,48563.46602945184,150831.72427067044,55799.66172069305,30927.4227827177,18723.46967089291,30413.26676708672,89141.54904396475,75845.91663014065,26519.359932909465,14042.433529599224,27026.325719216875,47486.463333361055
2025-11-30,163916.33950080405,6982.276655111196,65410.93569135785,52689.163748479215,147488.26394820842,49239.64299593641,32514.914980625545,17331.605243401424,29455.766208295034,87165.56399339001,71319.48309378578,25609.293617547486,13731.157373578015,25595.44690745578,46158.522608041494
2025-12-31,143069.14384219667,4165.884351003979,49145.21425779393,46200.54533097347,128783.22655096395,36527.00473929272,27898.600514512378,12908.18984456736,25709.52514844282,76110.88689161996,56081.99976653044,20858.377038261868,11989.718391894728,20977.27776670775,40294.27122365112
2026-01-31,149413.54507938,5918.57524203989,53560.46739215876,42506.8978362521,133067.12972289172,40406.172579984275,26294.178688529744,14253.742488311129,26849.61405076418,78642.6736662292,58199.13177066723,21800.11414030488,12388.549777201362,22240.066538113493,41911.451697179735
2026-02-28,142940.11764006247,7478.128473775556,50563.87161528179,38714.18436025132,126817.07726660886,38965.14398957858,24147.62792052103,14353.218710006322,25686.339139919273,74948.89266456674,55107.540907488896,21148.86524786328,11806.669893521414,21505.277881459646,40037.96622925968
2026-03-31,109034.47708130548,6174.239730446434,35313.91727746159,26208.13936839982,95910.09039200906,27625.81547967482,16462.13445478328,10467.600726967961,19593.495531510314,56682.863421678,38517.327558786914,15500.350078871406,8929.229415496116,15958.997605213346,30442.70935557867
2026-04-30,63511.08563367381,3103.5324923037238,16332.562037964843,14591.72715061487,55698.78330797699,12884.33641523701,8935.734475100604,5141.337312528578,11412.94208837149,32917.98093501459,19021.3509796933,8311.852082940928,5185.556725972694,8649.834210279783,17712.541162588772
2026-05-31,63272.537920317714,2623.315131147142,16747.959183008134,14177.20083066228,55400.188247289654,12969.640272148297,8723.323644818802,4924.124527615452,11370.075064281276,32741.511254147255,18919.030142607215,8122.585438351378,5157.757525822535,8551.729260330394,17635.38432256422
2026-06-30,106850.37979898385,143.05753560321787,14703.362679114169,16926.9612100203,91812.9762578757,10449.941174478288,9951.36427996208,3495.068058592163,19201.013249877567,54261.46896840536,17700.09912258574,9839.223009287995,8547.788089608377,11528.419231964228,29574.187451967664
2026-07-31,109846.19769560527,2402.5849084193624,34045.11431504605,29485.508958766353,97390.04646687934,25094.39382138046,17969.029893306033,8514.858657673905,19739.3617258998,57557.51746192554,37522.30106534463,14544.874386296473,9067.013326066444,15196.199532294931,30760.41431396922
2026-08-31,151782.1467198911,2944.123602570491,47863.38605431523,41417.62065744695,134738.46082901486,35091.75982908833,25226.07778116324,11740.440488735405,27275.251765564444,79630.43034994752,52553.496606374625,20146.67792884561,12544.150703181134,21044.527210681634,42523.76513316866
2026-09-30,179525.38842522464,4472.426342036712,61884.6843397438,46952.60081220913,158860.58727167445,45660.32630530222,29138.37506976324,15076.54449259212,32260.712300012783,93886.60707755992,65283.73976729321,24468.199350725714,14789.920674992845,25637.65941828849,50236.25796852496
2026-10-31,189165.17732185172,5609.429821026348,66476.98278882963,51409.60315323249,167871.81526976541,49397.67616772127,31849.582251778633,16685.494794607846,33992.98236473692,99212.24282442985,70901.45777086254,26486.117950598065,15628.86600161496,27460.2482608829,52990.93979938961
2026-11-30,162908.0856560989,4781.8152480627095,50129.469848145345,44750.04561973053,144688.7257659395,37489.38735774924,27216.915560215788,13283.480213197265,29274.582992401516,85511.03692767056,56368.836193775016,22088.136359070526,13470.520368808928,22815.98278902137,45649.601787286825
2026-12-31,149900.91122624715,4147.87011898928,39513.05048799709,35816.301420622476,131804.1080174232,29714.07186635045,21756.71555798368,10706.783266068789,26937.193747356465,77896.22783829815,44833.07123188292,18809.867483966493,12270.962456422345,19889.199013216403,41846.37960757792
2027-01-31,144370.4232169644,5712.25627365798,38415.091902562555,31304.638919466124,126148.51276707831,29616.52552378911,19351.936180368244,11050.849649500096,25943.36505208868,74553.77104534222,42724.7062625542,18321.824926729536,11744.426538614825,19424.18123611278,40208.22598911991
2027-02-28,150249.61586768815,6804.884203630791,42495.87331878943,27446.57340908159,130010.13354207466,32973.25180199731,17611.982759850165,11986.704261907245,26999.855971423498,76835.98892336611,44261.174669558706,18952.09186037729,12103.94343276712,20453.133144231513,41693.964925584754
