,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2040-08-31,-258226.8411744011,-17927.661931200048,-293637.1847004002,-274706.4355199996,-279984.73630561016,-215226.31243800756,-165701.904153639,-73372.00461516023,-46403.363359039875,-165470.97915661635,-331555.6379732495,-88834.43357700881,-26066.578950052386,-73922.81503125868,-78380.33332271634
2040-09-30,-281833.6142159992,-20648.702735999876,-317890.8593909985,-289095.3018000005,-302915.5627929968,-233541.10479579683,-175029.43362610892,-79514.182048767,-50645.50047461517,-179023.09761066156,-355757.86198731035,-95620.41100761935,-28201.43889602808,-80086.93772842996,-85228.893227271
2040-10-31,-297993.55687919934,-20131.625556000075,-291099.84732360055,-258897.94509599943,-308661.0566416121,-214389.10181264876,-157229.46690131503,-73055.32410961285,-53549.44217119221,-182418.68447519228,-323686.5904899764,-89428.3076381278,-28736.34437333389,-76654.50136374997,-88733.79259243503
2040-11-30,-237807.42728399954,-22935.588155999943,-221412.81287700037,-167184.32400000008,-236523.61414415177,-166370.72976322603,-104103.14439846044,-57531.96208784428,-42733.99468293468,-139785.4559591932,-236134.3028373717,-67307.46811231381,-22020.348476820538,-59471.88215656629,-69647.28035514729
2040-12-31,-216912.36672000028,-24936.145056000038,-202378.50453599915,-122835.97727999999,-208371.18982780818,-153790.2323364606,-79392.72974499338,-52615.35715585668,-38979.15229958412,-123147.3731882344,-204125.78292006068,-58872.00945111946,-19399.357772969,-53732.54888259806,-62651.37676003203
2041-01-31,-291060.68342400156,-38841.54076799992,-280101.1058640005,-181860.14592000004,-283832.90060045756,-214729.2392158443,-116350.04116406874,-75912.19391064241,-52303.60481129284,-167745.24425487034,-289631.3119138349,-84043.04948254721,-26424.84304590273,-75152.61446557404,-84571.14467652724
2041-02-28,-364383.5811840007,-40636.463615999965,-272959.9326719986,-151287.57504000003,-336353.0606102012,-210462.0994103034,-99720.74891842552,-73659.45863969275,-65479.729538764805,-198784.65882062912,-271842.1290791007,-83900.32097482868,-31314.46994280978,-79320.93116224348,-103619.03209937038
2041-03-31,-314537.1808320014,-38430.058175999904,-244714.14532799926,-80829.29087999975,-277975.1133478377,-189549.97389352694,-60375.901165545685,-63323.11818024446,-56522.331395510584,-164283.29198857164,-220089.8916061176,-67930.22286789585,-25879.48305268353,-67848.72925329674,-87973.99039407587
2041-04-30,-259930.3996799998,-22318.416000000027,-180098.16696000006,-2509.8336000000127,-213740.62834723294,-136914.38829323836,-13934.321958960267,-39552.517329480266,-46709.49282249599,-126320.71135321492,-134031.11210768577,-41929.677406857954,-19899.25249912741,-48173.96147470246,-70801.37488610484
2041-05-31,-126511.65273599979,-18423.347615999926,-157421.56053599995,33530.88959999988,-95394.47801264469,-119204.8537102202,6837.077792318538,-31547.633603248745,-22734.143996658968,-56378.13650547434,-100751.0524202669,-25911.020035956753,-8881.225902977167,-31704.262838442577,-33433.171157257166
