years,senwat_BAU_yearly_losses,senwat_NBS_yearly_benefits,senwat_GROSS_yearly_benefits,NBS_yearly_investments,senwat_NET_yearly_cashflow,senwat_BAU_cumul_losses,senwat_NBS_cumul_benefits,senwat_GROSS_cumul_benefits,NBS_cumul_investments,senwat_NET_cumul_cashflow,senwat_ROI
2046,-0.79201544228266,1.14827519038503,1.94029063266769,0.496526907041192,1.4437637256265,-14.7075879896391,40.3279587445329,55.0355467341721,28.7767011313169,26.2588456028551,0.912503677298796
2047,-0.872376540357465,1.20075172567197,2.07312826602944,0.484720835213227,1.58840743081621,-15.5799645299966,41.5287104702049,57.1086750002015,29.2614219665302,27.8472530336713,0.951671216303966
2048,-0.638687154580676,1.42318449410857,2.06187164868924,0.473195479958785,1.58867616873046,-16.2186516845773,42.9518949643135,59.1705466488907,29.7346174464889,29.4359292024018,0.989954865078568
2049,-1.59143686571108,0.920288793300234,2.51172565901131,0.461944166594213,2.0497814924171,-17.8100885502884,43.8721837576137,61.6822723079021,30.1965616130832,31.4857106948189,1.04269191632657
2050,-0.553079907562426,0.603303058080761,1.15638296564319,0.450960379141847,0.705422586501339,-18.3631684578508,44.4754868156945,62.8386552735452,30.647521992225,32.1911332813202,1.05036659373266
2051,-1.15224266840467,0.871427948790175,2.02367061719484,0.440237756556414,1.58343286063843,-19.5154111262554,45.3469147644847,64.8623258907401,31.0877597487814,33.7745661419587,1.08642650402889
2052,-1.20876276189638,0.772106347467461,1.98086910936384,0.429770089041154,1.55109902032269,-20.7241738881518,46.1190211119521,66.8431950001039,31.5175298378226,35.3256651622813,1.12082594492824
2053,-0.919138409500319,0.502475852977204,1.42161426247752,0.419551314451542,1.00206294802598,-21.6433122976521,46.6214969649293,68.2648092625814,31.9370811522741,36.3277281103073,1.13747802866201
2054,-0.784660214992742,0.46580848838663,1.25046870337937,0.409575514784513,0.840893188594858,-22.4279725126449,47.087305453316,69.5152779659608,32.3466566670586,37.1686212989022,1.14907150007729
2055,-1.0756102610345,0.391247493336211,1.46685775437071,0.399836912751168,1.06702084161954,-23.5035827736794,47.4785529466522,70.9821357203315,32.7464935798098,38.2356421405217,1.16762553668025
2056,-1.00322887507232,0.405017880783144,1.40824675585547,0.390329868430968,1.0179168874245,-24.5068116487517,47.8835708274353,72.390382476187,33.1368234482408,39.2535590279462,1.18459028184339
2057,-0.850830667788097,0.548695639263488,1.39952630705159,0.381048876005488,1.0184774310461,-25.3576423165398,48.4322664666988,73.7899087832386,33.5178723242462,40.2720364589923,1.20150933416678
2058,-1.33027110335414,0.398586251543522,1.72885735489766,0.371988560569827,1.35686879432784,-26.6879134198939,48.8308527182423,75.5187661381362,33.8898608848161,41.6289052533202,1.22835869391165
2059,-0.784092989189036,0.340314168810952,1.12440715799999,0.363143675019839,0.761263482980149,-27.472006409083,49.1711668870533,76.6431732961362,34.2530045598359,42.3901687363003,1.23756059595443
2060,-1.14490043836295,0.344651959119343,1.48955239748229,0.354509097013375,1.13504330046892,-28.6169068474459,49.5158188461726,78.1327256936185,34.6075136568493,43.5252120367692,1.25768098998221
2061,-1.13604498044668,0.120488498036434,1.25653347848311,0.346079826003778,0.910453652479336,-29.7529518278926,49.6363073442091,79.3892591721016,34.9535934828531,44.4356656892485,1.27127603378025
2062,-0.510415133658198,0.186227725120068,0.696642858778266,0.337850980343916,0.35879187843435,-30.2633669615508,49.8225350693291,80.0859020308799,35.291444463197,44.7944575676829,1.26927243271088
2063,-0.998322040807261,0.246527664301045,1.24484970510831,0.329817794459071,0.915031910649234,-31.2616890023581,50.0690627336302,81.3307517359882,35.6212622576561,45.7094894783321,1.28320802187485
2064,-1.1188186795869,0.154743902157632,1.27356258174454,0.32197561608705,0.951586965657486,-32.380507681945,50.2238066357878,82.6043143177327,35.9432378737431,46.6610764439896,1.2981878985943
2065,-0.999301611158591,0.0431547776638166,1.04245638882241,0.314319903583917,0.728136485238491,-33.3798092931036,50.2669614134516,83.6467707065551,36.257557777327,47.3892129292281,1.30701613220243
