years,senddr_BAU_yearly_losses,senddr_NBS_yearly_benefits,senddr_GROSS_yearly_benefits,senddr_NBS_yearly_investments,senddr_NET_yearly_cashflow,senddr_BAU_cumul_losses,senddr_NBS_cumul_benefits,senddr_GROSS_cumul_benefits,senddr_NBS_cumul_investments,senddr_NET_cumul_cashflow,senddr_ROI
2046,-0.906311583305628,1.31125721782363,2.21756880112925,0.581661849541905,1.63590695158735,-15.0389952562075,40.1480084677667,55.1870037239741,29.6389102370207,25.5480934869534,0.861978165953022
2047,-0.994155512666895,1.36412052945159,2.35827604211849,0.575082038601835,1.78319400351665,-16.0331507688744,41.5121289972183,57.5452797660926,30.2139922756226,27.3312874904701,0.904590404377697
2048,-0.725480986923023,1.60984764641395,2.33532863333698,0.568856029166985,1.76647260416999,-16.7586317557974,43.1219766436322,59.8806083994296,30.7828483047896,29.09776009464,0.945258859951328
2049,-1.80669093887453,1.03205256269918,2.83874350157371,0.56297404161356,2.27576945996015,-18.5653226946719,44.1540292063314,62.7193519010033,31.3458223464031,31.3735295546002,1.00088392028421
2050,-0.623052057377726,0.677386094746871,1.3004381521246,0.557426900283337,0.74301125184126,-19.1883747520497,44.8314153010783,64.0197900531279,31.9032492466865,32.1165408064414,1.00668557481734
2051,-1.40972771293321,1.06236498135116,2.47209269428437,0.552206009766431,1.91988668451794,-20.5981024649829,45.8937802824294,66.4918827474123,32.4554552564529,34.0364274909594,1.04871206464411
2052,-1.47765918656073,0.938702607535881,2.41636179409661,0.547303332822969,1.86905846127364,-22.0757616515436,46.8324828899653,68.9082445415089,33.0027585892759,35.905485952233,1.08795408284144
2053,-1.12215493633809,0.609592250274567,1.73174718661266,0.542711369864658,1.189035816748,-23.1979165878817,47.4420751402399,70.6399917281216,33.5454699591405,37.094521768981,1.1057982438214
2054,-0.957544883769287,0.563588867453494,1.52113375122278,0.538423139923265,0.982710611299516,-24.155461471651,48.0056640076934,72.1611254793443,34.0838930990638,38.0772323802806,1.1171620644863
2055,-1.31391307766902,0.471913699857163,1.78582677752618,0.534432163038684,1.2513946144875,-25.46937454932,48.4775777075505,73.9469522568705,34.6183252621025,39.3286269947681,1.13606382449188
2056,-1.32797250510074,0.534402656792679,1.86237516189341,0.530732444004626,1.33164271788879,-26.7973470544207,49.0119803643432,75.8093274187639,35.1490577061071,40.6602697126568,1.15679544107927
2057,-1.12732837762735,0.723895990289244,1.85122436791659,0.527318457415085,1.32390591050151,-27.9246754320481,49.7358763546325,77.6605517866805,35.6763761635222,41.9841756231583,1.17680605874107
