years,senbau_BAU_yearly_losses,NBS_yearly_benefits,senbau_GROSS_yearly_benefits,NBS_yearly_investments,senbau_NET_yearly_cashflow,senbau_BAU_cumul_losses,NBS_cumul_benefits,senbau_GROSS_cumul_benefits,NBS_cumul_investments,senbau_NET_cumul_cashflow,senbau_ROI
2057,-1.33504660784395,0.523098991825097,1.85814559966904,0.381048876005488,1.47709672366356,-47.9344691988293,45.8330033441365,93.7674725429658,33.5178723242462,60.2496002187195,1.79753653918945
2058,-2.00475778071947,0.372502880968991,2.37726066168846,0.371988560569827,2.00527210111863,-49.9392269795488,46.2055062251055,96.1447332046542,33.8898608848161,62.2548723198382,1.83697633139978
2059,-1.12927315884183,0.312437818124337,1.44171097696617,0.363143675019839,1.07856730194633,-51.0685001383906,46.5179440432299,97.5864441816204,34.2530045598359,63.3334396217845,1.84898932037184
2060,-1.5850348705883,0.308774023101573,1.89380889368987,0.354509097013375,1.5392997966765,-52.6535350089789,46.8267180663314,99.4802530753103,34.6075136568493,64.872739418461,1.8745275971486
2061,-1.63425997576859,0.115837533309889,1.75009750907847,0.346079826003778,1.4040176830747,-54.2877949847475,46.9425555996413,101.230350584389,34.9535934828531,66.2767571015357,1.89613571875088
2062,-0.698722093717188,0.177007051588255,0.875729145305443,0.337850980343916,0.537878164961527,-54.9865170784647,47.1195626512296,102.106079729694,35.291444463197,66.8146352664972,1.89322472578796
2063,-1.32281046941816,0.230013901361163,1.55282437077932,0.329817794459071,1.22300657632025,-56.3093275478828,47.3495765525907,103.658904100474,35.6212622576561,68.0376418428175,1.91002894144197
2064,-1.42810429938133,0.140998795629514,1.56910309501085,0.32197561608705,1.2471274789238,-57.7374318472641,47.4905753482202,105.228007195484,35.9432378737431,69.2847693217412,1.92761624773806
2065,-1.224280889797,0.0360672136229325,1.26034810341994,0.314319903583917,0.94602819983602,-58.9617127370611,47.5266425618432,106.488355298904,36.257557777327,70.2307975215773,1.9369974655462
2066,-1.10848179160426,0.221715148906919,1.33019694051118,0.306846223293791,1.02335071721739,-60.0701945286654,47.7483577107501,107.818552239415,36.5644040006208,71.2541482387947,1.94872992426145
2067,-1.1608295141861,0.179827960111199,1.34065747429729,0.29955024698118,1.04110722731611,-61.2310240428515,47.9281856708613,109.159209713713,36.863954247602,72.2952554661108,1.96113675110731
2068,-0.800409611852431,0.276424934640598,1.07683454649303,0.292427749324369,0.78440679716866,-62.0314336547039,48.2046106055019,110.236044260206,37.1563819969264,73.0796622632794,1.96681319158913
2069,-1.90964869305415,-0.0137759515687887,1.89587274148536,0.285474605468406,1.61039813601696,-63.9410823477581,48.1908346539331,112.131917001691,37.4418566023948,74.6900603992964,1.99482790590356
2070,-0.629852784726653,0.011139202866891,0.640991987593543,0.278686788636275,0.362305198957269,-64.5709351324847,48.2019738568,112.772908989285,37.720543391031,75.0523655982537,1.98969470880155
2071,-1.35031133432287,-0.0238376656950142,1.32647366862786,0.272060367796866,1.054413300831,-65.9212464668076,48.178136191105,114.099382657913,37.9926037588279,76.1067788990846,2.00319986969571
2072,-1.35112665642906,0.0117810518405479,1.36290770826961,0.265591505388396,1.09731620288121,-67.2723731232367,48.1899172429455,115.462290366182,38.2581952642163,77.2040951019659,2.01797535322259
2073,-0.98038523061412,-0.0503657570744045,0.930019473539715,0.25927645509596,0.670743018443755,-68.2527583538508,48.1395514858711,116.392309839722,38.5174717193123,77.8748381204096,2.02180555068374
2074,-0.79878734325067,-0.074827569930194,0.723959773320476,0.253111559681925,0.470848213638551,-69.0515456971015,48.0647239159409,117.116269613042,38.7705832789942,78.3456863340482,2.02075077824521
2075,-1.04812512893636,-0.0959312119103782,0.95219391702598,0.247093248867914,0.705100668158066,-70.0996708260378,47.9687927040306,118.068463530068,39.0176765278621,79.0507870022062,2.0260249721881
2076,-1.0106501644063,-0.0731055848325262,0.937544579573769,0.24121803726715,0.696326542306619,-71.1103209904441,47.895687119198,119.006008109642,39.2588945651292,79.7471135445128,2.03131327124392
2077,-0.819821817453182,-0.0913778149581838,0.728444002494998,0.235482522365959,0.492961480129038,-71.9301428078973,47.8043093042398,119.734452112137,39.4943770874952,80.2400750246419,2.03168351907106
2078,-1.2312140360149,-0.160364730676172,1.07084930533872,0.229883382553276,0.840965922785448,-73.1613568439122,47.6439445735637,120.805301417476,39.7242604700485,81.0810409474273,2.04109629702386
2079,-0.693429844256844,-0.131617688311712,0.561812155945132,0.224417375196992,0.33739478074814,-73.854786688169,47.512326885252,121.367113573421,39.9486778452455,81.4184357281755,2.0380758543143
2080,-0.973287615455887,-0.202287300132911,0.771000315322977,0.219081334766057,0.55191898055692,-74.8280743036249,47.310039585119,122.138113888744,40.1677591800115,81.9703547087324,2.04070021285934
