years,BAU_yearly_losses,sennbs_NBS_yearly_benefits,sennbs_GROSS_yearly_benefits,NBS_yearly_investments,sennbs_NET_yearly_cashflow,BAU_cumul_losses,sennbs_NBS_cumul_benefits,sennbs_GROSS_cumul_benefits,NBS_cumul_investments,sennbs_NET_cumul_cashflow,sennbs_ROI
2066,-0.844674955877766,0.221715148906919,1.06639010478469,0.306846223293791,0.759543881490895,-32.3900828975272,32.8577828263276,65.2478657238548,36.5644040006208,28.683461723234,0.784464084871915
2067,-0.901516600846795,0.179827960111199,1.08134456095799,0.29955024698118,0.781794313976814,-33.291599498374,33.0376107864388,66.3292102848128,36.863954247602,29.4652560372108,0.799297216986089
2068,-0.637377933166558,0.276424934640598,0.913802867807156,0.292427749324369,0.621375118482788,-33.9289774315405,33.3140357210794,67.2430131526199,37.1563819969264,30.0866311556936,0.809729837479397
2069,-1.54702548932823,-0.0137759515687887,1.53324953775944,0.285474605468406,1.24777493229103,-35.4760029208688,33.3002597695106,68.7762626903794,37.4418566023948,31.3344060879846,0.836881739619196
2070,-0.519373062666161,0.011139202866891,0.530512265533052,0.278686788636275,0.251825476896777,-35.9953759835349,33.3113989723775,69.3067749559124,37.720543391031,31.5862315648814,0.837374775793706
2071,-1.1404011087934,-0.0238376656950142,1.11656344309839,0.272060367796866,0.844503075301521,-37.1357770923283,33.2875613066825,70.4233383990108,37.9926037588279,32.4307346401829,0.85360652947213
2072,-1.163025226055,0.0117810518405479,1.17480627789555,0.265591505388396,0.909214772507154,-38.2988023183833,33.299342358523,71.5981446769064,38.2581952642163,33.3399494126901,0.87144595249305
2073,-0.859518385235205,-0.0503657570744045,0.8091526281608,0.25927645509596,0.549876173064841,-39.1583207036185,33.2489766014486,72.4072973050672,38.5174717193123,33.8898255857549,0.879855921819575
2074,-0.713539763379572,-0.074827569930194,0.638712193449378,0.253111559681925,0.385600633767454,-39.8718604669981,33.1741490315184,73.0460094985165,38.7705832789942,34.2754262195224,0.884057533333338
2075,-0.953011429432816,-0.0959312119103782,0.857080217522438,0.247093248867914,0.609986968654524,-40.8248718964309,33.078217819608,73.903089716039,39.0176765278621,34.8854131881769,0.894092531708432
2076,-0.936700875201395,-0.0731055848325262,0.863595290368869,0.24121803726715,0.622377253101719,-41.7615727716323,33.0051122347755,74.7666850064078,39.2588945651292,35.5077904412786,0.904452120585625
2077,-0.773518301947839,-0.0913778149581838,0.682140486989655,0.235482522365959,0.446657964623696,-42.5350910735802,32.9137344198173,75.4488254933975,39.4943770874952,35.9544484059023,0.910368793163882
2078,-1.18093512324854,-0.160364730676172,1.02057039257237,0.229883382553276,0.790687010019093,-43.7160261968287,32.7533696891412,76.4693958859699,39.7242604700485,36.7451354159214,0.925004895777146
2079,-0.677371077815499,-0.131617688311712,0.545753389503788,0.224417375196992,0.321336014306795,-44.3933972746442,32.6217520008295,77.0151492754736,39.9486778452455,37.0664714302282,0.927852270200719
2080,-0.965631800405797,-0.202287300132911,0.763344500272887,0.219081334766057,0.54426316550683,-45.35902907505,32.4194647006965,77.7784937757465,40.1677591800115,37.610734595735,0.93634136838908
