,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2062,928263.76,222447.47712485766,1409837.6182423523,337850.9803439159,-3154949.46920075,-756046.481745787,-6762914.378294172,-1620652.7781101395,-1149309.73154116,-275418.5407565394,-1745560.006068476,-418302.89649569395,-2005639.7376595899,-1409389.4631322739,-5613604.646753011,-5017354.372225696,-480627.9409892476,-337743.585250093,-1345234.2373536,-1202349.8816144457
2063,928263.76,215008.1936254182,1423935.994424776,329817.79445907124,-6113602.857071297,-1416057.335731921,-13105050.673202071,-3035444.6591933616,-2165319.164809488,-501539.95266193233,-3321551.5148302503,-769351.1499764072,-3948283.692261809,-2792051.342241047,-10939731.508392584,-9783499.158371821,-914517.3830699887,-646706.1857555138,-2533904.706531429,-2266093.5092169545
2064,928263.76,207817.70116510557,1438175.3543690238,321975.61608705006,-7122315.998364778,-1594528.8414056173,-15267316.875378728,-3418014.1816593483,-2674700.5745321224,-598806.2322978684,-4143960.5986651536,-927741.0176320649,-4447615.423832656,-2978355.3996996246,-12592616.300846606,-11123356.276713574,-995722.609107749,-666787.8237735524,-2819207.94936148,-2490273.1640272834
2065,928263.76,200867.6794559304,1452557.107912714,314319.90358391707,-6296689.944771767,-1362545.3798388029,-13497514.105652288,-2920737.0293396595,-2329576.5470987093,-504098.7866753267,-3645346.417396481,-788819.1990554717,-3967113.3976730574,-2651343.5273752855,-11167937.558553578,-9852167.688255806,-858446.5931634761,-573726.1807833312,-2416638.242664333,-2131917.8302841876
2066,928263.76,194150.08646426676,1467082.678991841,306846.223293791,-5468832.59989372,-1143828.260760677,-12895221.201384934,-2697087.206361186,-2014680.1303810482,-421378.425364059,-3184119.051454793,-665971.2635474072,-3454152.4695126717,-2284713.5484389267,-10880541.071003886,-9711102.14993014,-722449.8353966181,-477856.9972132698,-2275708.7809971273,-2031115.942813779
2067,928263.76,187657.14910522595,1481753.5057817595,299550.24698118016,-6098445.681626372,-1232857.4914818192,-14379815.913679836,-2907013.47537161,-2329526.724609075,-470935.4848718578,-3718538.350567296,-751737.0986301437,-3768918.957017297,-2379907.331059076,-12050289.189070761,-10661277.56311254,-761922.0066099614,-481120.3928516755,-2436077.990499752,-2155276.376741466
2068,928263.76,181381.35424823695,1496571.040839577,292427.7493243688,-4383247.220038919,-856479.9694167516,-10335467.661572946,-2019534.9662739818,-1676912.2978950469,-327666.16198366566,-2703561.736652821,-528271.9311241925,-2706334.922143872,-1679685.483386098,-8658555.3636779,-7631905.924920125,-528813.807433086,-328208.0382925591,-1691868.804290316,-1491263.0351497894
2069,928263.76,175315.4400234264,1511536.7512479727,285474.6054684056,-10531398.414158927,-1989000.138323064,-24832486.573667124,-4689958.283557553,-3823757.239046406,-722169.4003288276,-6226408.746872896,-1175943.343111588,-6707641.175112521,-4304989.667286031,-21008729.334620718,-18606077.82679423,-1266830.7379942364,-813056.795211476,-3967788.8832287253,-3514014.940445965
2070,928263.76,169452.3874187381,1526652.1187604526,278686.78863627464,-3871151.92066648,-706669.7670256656,-9127973.73284575,-1666290.3454576777,-1553588.0438304162,-283603.8790227803,-2555080.334919691,-466423.9642392272,-2317563.876836064,-1316071.585746789,-7574385.689015334,-6572893.397926059,-423065.88800288533,-240245.80278643843,-1382686.4664348974,-1199866.3812184506
2071,928263.76,163785.41215806888,1541918.6399480572,272060.3677968658,-7503640.100178578,-1323962.90736758,-19462509.93314221,-3434018.808436739,-2751025.085320389,-485398.43616903294,-4569667.6319887815,-806284.7315408168,-4752615.014858189,-2933972.4681897964,-16711484.847821822,-14892842.301153429,-838564.4711985472,-517678.17582676327,-2948620.372267706,-2627734.076895922
2072,928263.76,158307.95685102348,1557337.8263475378,265591.505388396,-7829098.681746614,-1335190.136359894,-20306665.67515915,-3463139.348983369,-2879098.5766241825,-491007.22540117713,-4830231.785802124,-823757.3824138138,-4950000.105122432,-2998866.89594449,-17427567.098534968,-15476433.889357025,-844182.9109587169,-511432.7539460801,-2972132.1235821918,-2639381.966569555
2073,928263.76,153013.68340520345,1572911.2046110132,259276.45509595977,-6011465.863833519,-990921.5183514328,-15592194.258466735,-2570195.216774875,-2268855.1025891886,-373994.8615034401,-3844497.40071874,-633721.5061866737,-3742610.76124433,-2166968.4631147785,-13323339.155877547,-11747696.857747994,-616926.6568479927,-357200.0121647591,-2196200.355271435,-1936473.7105882012
2074,928263.76,147896.46569225154,1588640.3166571232,253111.55968192473,-5114914.940900421,-814938.4632614161,-13266772.062013315,-2113740.4945297805,-1938818.4015129788,-308904.0007366767,-3318114.109421051,-528661.540710117,-3176096.539387442,-1796800.8314793697,-11327953.660500336,-9948657.952592265,-506034.4625247394,-286276.9225512991,-1804836.4937931038,-1585078.9538196635
2075,928263.76,142950.38245916448,1604526.7198236946,247093.2488679142,-6914805.861336478,-1064863.4419477086,-17935225.56589679,-2761981.5235880055,-2578717.343446666,-397116.25766773603,-4457376.296186496,-686425.209903997,-4336088.517889813,-2457429.5651499825,-15356508.222450124,-13477849.269710295,-667747.1842799726,-378438.2320437116,-2364865.2659202693,-2075556.3136840085
2076,928263.76,138169.71047667164,1620571.9870219314,241218.03726714995,-6437982.23196116,-958277.3553973816,-18368314.659647748,-2734077.1317711817,-2417959.0248196456,-359907.0790006773,-4221296.607970115,-628329.3125214614,-4020023.2071415144,-2216685.623991045,-15950355.634828102,-14147018.051677633,-598370.2763967044,-329948.0428759202,-2374170.0527705043,-2105747.8192497203
2077,928263.76,133548.91791675202,1636777.7068921507,235482.52236595927,-5502190.363675965,-791597.8204738979,-15698391.246801365,-2258520.9661143445,-2105320.853079475,-302891.6283409978,-3712244.7160660992,-534079.0907024184,-3396869.51059649,-1789945.6476098658,-13593070.39372189,-11986146.530735265,-488706.19213290006,-257518.7297714795,-1955629.3377733468,-1724441.8754119263
2078,928263.76,129082.65795162578,1653145.4839610725,229883.38255327556,-8397830.722328044,-1167786.9560112155,-23959991.128957972,-3331832.473372945,-3093485.75768624,-430174.4624153364,-5509190.631353425,-766097.9567459312,-5304344.964641804,-2888640.0909746196,-20866505.371271733,-18450800.49760455,-737612.4935958791,-401688.9992652843,-2901658.010957609,-2565734.5166270137
2079,928263.76,124765.76256681402,1669676.938800683,224417.37519699236,-5016950.439196861,-674316.5835821371,-14313945.111798478,-1923903.9098252172,-1902215.7310683406,-255672.37080690422,-3421533.7015728056,-459880.3484742149,-3114734.7081285208,-1595416.7376240557,-12411729.380730137,-10892411.410225673,-418644.2127752329,-214436.23510792223,-1668231.539018313,-1464023.5613510022
2080,928263.76,120593.23658110769,1686373.70818869,219081.33476605674,-7288381.112848787,-946853.1528528602,-20794601.913565483,-2701482.5486374227,-2737796.1751168207,-355674.44953007164,-4973745.272676125,-646152.5982248817,-4550584.937731966,-2314635.8401726615,-18056805.73844866,-15820856.640889358,-591178.7033227885,-300700.5546279785,-2345808.099107351,-2055329.9504125412
