,Papallacta_SEMBASE-superficial,Mica_SEMBASE-superficial,Orientales_SEMBASE-superficial,Occidentales_SEMBASE-superficial,Bellavista_SEMBASE-superficial,Puengasi_SEMBASE-superficial,El Placer_SEMBASE-superficial,El Troje_SEMBASE-superficial,Paluguillo_SEMBASE-superficial,Norte_SEMBASE-superficial,Centro_SEMBASE-superficial,Sur_SEMBASE-superficial,Parroquias Norte_SEMBASE-superficial,Parroquias Sur_SEMBASE-superficial,Parroquiales Orientales_SEMBASE-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2074-04-30,10370566.163805442,2435218.1667470047,7131766.427104888,3551728.929823698,9385431.83676527,6094260.056034429,2447540.3008777387,2619167.6361150634,1863590.739635838,5546790.215528275,7501769.556948898,2659568.078864045,873783.7040028466,2430016.927528328,2926778.9670955352,10367168.87960662,2343987.34323708,7076157.737687316,2345541.8817267288,9082908.92199856,6015423.954969363,1799661.4387985484,2479797.485083686,1862980.2476653098,5367999.172901148,6886795.200679808,2461224.9037777963,845618.8206380658,2343434.826507746,2890215.777482011
2074-05-31,11502024.059334991,2622061.8372151903,7575001.175490224,3665823.837826396,10341466.749948619,6488402.136916628,2544438.7963487925,2793284.8921041703,2066913.7234624983,6111806.849219633,7935339.277452475,2849997.562470439,962790.5544202166,2624352.815048117,3238020.4616574007,11499356.699028546,2597140.400674052,7557334.878285321,2455306.1240777615,10038466.129366828,6465117.45520078,1899385.1796532744,2694306.857215356,2066434.3988154298,5932733.482455795,7372369.177974954,2678074.1261917823,934581.1966440517,2556911.491141039,3201527.928110669
2074-06-30,14417901.900583202,3314447.17162146,7612324.647200316,3312161.311987461,12644309.854317052,6814920.212144927,2386799.306446582,3138773.6383173508,2590896.971534801,7472787.123901376,8094554.53459863,3207963.131232302,1177185.2474369174,3009182.596906105,4020983.028918664,14415671.361495703,3446217.328384652,7627661.091421553,2132434.7448182628,12349318.983377667,6882877.772944074,1766527.378783605,3129365.315766874,2590496.1436607777,7298447.5191762,7633929.264215855,3097752.24633034,1149721.5973524607,2982157.708614751,3985519.129918782
2074-07-31,12827022.220452547,3046572.075321215,6858059.067324508,3021988.0259410287,11267839.54299539,6165907.72571651,2172919.2201737543,2862210.241420355,2305015.8930153227,6659293.169910275,7334960.566711171,2907004.6410376453,1049035.8614528708,2712845.1033474193,3579530.064905141,12825133.578264207,3104346.186190739,6861434.872280267,1876836.4841809205,10981720.887137784,6193337.808979693,1567265.4055129525,2814434.14405734,2304676.5040140776,6490197.044298428,6850414.571876094,2774615.833798819,1022398.2145925272,2669626.681992304,3545180.772431162
2074-08-31,12563872.475906486,3039811.8177301674,6518403.264011184,2799599.5755218603,10996819.53751291,5923010.32900993,2032460.0006113667,2791240.4456265904,2257727.8839203957,6499120.346670128,6999900.058451323,2823752.206287429,1023803.8989424519,2638114.0583973844,3501356.027815734,12561983.727015197,3052160.2737428583,6492836.68915369,1673976.6486664033,10715553.654973362,5910300.59955461,1433475.0098788051,2716478.499482468,2257388.4757446307,6332892.210089256,6485098.301445226,2675180.528078242,997618.0452780199,2582289.6552950325,3467583.7114573917
2074-09-30,11654638.808303727,3014870.735017037,6895740.039773001,2855622.7208322664,10265260.605055043,6178786.8017295115,2085740.646093445,2839896.4094982906,2094338.5938521796,6066769.017587531,7273193.141706686,2812706.7693837048,955695.7623306245,2604207.3805798152,3255608.2975872084,11652645.872588309,2966119.4980483586,6852662.59303292,1702996.4654186217,9977198.972591681,6127218.924381722,1468825.883202709,2728465.1972786393,2093980.463304119,5896524.592801683,6708605.5418745065,2637576.0383248967,928877.2243482855,2531339.7726756707,3221009.774033764
2074-10-31,11335100.420879021,3182919.9578580246,7240426.97216568,3212653.3580932845,10091993.19456489,6495157.457566506,2304503.04198422,3005694.1397701907,2036917.54563196,5964367.977987849,7739708.479377653,2937611.9482116965,939564.566413991,2673499.0169258774,3179210.7699243417,11333158.533919383,3155683.7314316398,7204366.099313494,2010593.46159383,9791689.157166569,6457873.5467406,1662652.9015382691,2903256.4730428737,2036568.5885453126,5786888.291885441,7166923.990400967,2764073.1549220695,911606.2605322074,2603834.724537308,3143165.538276586
2074-11-30,9796526.846208904,2869268.205009023,7672377.690203547,3276652.7282025404,8846420.564165011,6664362.605000218,2353992.4688324616,2911477.2400675034,1760435.8742637401,5228234.553421521,7932472.221360878,2798940.7458200525,823601.7545237626,2529546.797677509,2762454.9441012964,9793986.627628632,2716369.791061968,7606185.488958695,2040141.2876874192,8537064.745983038,6551316.352374682,1686847.5232946887,2735974.415159669,1759979.3969848652,5045405.264875975,7270741.372540725,2574201.107955058,794800.7278510209,2426533.918576058,2725228.978347577
2074-12-31,9676512.990578977,2888773.2245228514,6994441.038756007,2994320.1477524037,8677861.557692176,6193855.786711776,2160761.9042938086,2798273.4550537528,1738869.3844070423,5128616.180596076,7349711.140407246,2688231.801881231,807908.9110211416,2429517.7436239375,2721457.120037923,9673418.605072657,2710829.9439294534,6889879.919091267,1842055.9926405216,8388986.828470241,6042844.9435314,1534862.4131838847,2609500.19879302,1738313.3233315563,4957891.215625911,6688729.530832005,2461910.977181879,781014.6737305793,2320463.8011005423,2686569.5901863845
2075-01-31,9961365.581333948,2876787.793950444,6860298.209128908,2785164.2552630776,8859436.957568578,6093888.193427091,2040479.3101010122,2757011.581497005,1790057.3949657104,5235927.24192303,7159302.572147664,2657620.0385667705,824813.5807496347,2424405.9817141015,2792785.824943085,9958025.992451986,2697582.114703583,6759578.901159512,1710300.489946182,8589595.18296301,5945044.340393199,1455886.261585399,2573481.6808984317,1789457.270843622,5076450.753131139,6534975.016569812,2441576.766846016,799691.3115338563,2319314.51163062,2760118.49733305
