,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2040,928263.76,470134.27471938974,1132658.1943966502,573653.1594507607,-2371002.542858271,-1200832.790073052,-2744731.8186763064,-1390114.058608317,-890001.525458084,-450755.7438958802,-1085970.9969024512,-550007.6691510896,-1481001.017400187,-1285031.5459558198,-1854730.2932182224,-1658760.8217738552,-750077.0461771719,-650825.1209219624,-939358.3147124369,-840106.3894572274
2041,928263.76,454411.6322437558,1143984.7763406166,560013.2331773326,-2457292.4059369606,-1202914.8408012826,-2986854.277493913,-1462150.5072117143,-913165.3358409888,-447020.5222359657,-1125377.6000951042,-550904.4887735108,-1544127.0700959717,-1331914.8058418564,-2073688.9416529243,-1861476.677398809,-755894.3185653168,-652010.3520277718,-1015129.9849757486,-911246.0184382035
2042,928263.76,439214.8001582793,1155424.6241040227,546697.6275943416,-1153268.0565902411,-545677.2318723397,-1401804.5307107922,-663274.0858235284,-419421.57290362363,-198452.39064911488,-522060.6837148175,-247016.8380464387,-733846.4836866176,-631207.3728754236,-982382.9578071686,-879743.8469959747,-347224.8412232249,-298660.39382590103,-464821.6951744135,-416257.24777708965
2043,928263.76,424526.1938510336,1166978.870345063,533698.6312297363,-2312890.9914613683,-1057762.7304953046,-2811333.4556899904,-1285717.2099341087,-819233.6656892769,-374663.0698689549,-1029910.2678905802,-471012.5557801442,-1493657.3257720913,-1282980.723570788,-1992099.7900007134,-1781423.1877994102,-683099.6606263497,-586750.1747151604,-911054.1400651538,-814704.6541539645
2044,928263.76,410328.8167900963,1178648.6590485137,521008.71596948936,-2790186.2117189425,-1233371.2207817687,-3391488.7790081985,-1499170.42743037,-1047142.4298437109,-462877.82930196077,-1329593.0251204595,-587732.0179019409,-1743043.7818752318,-1460593.186598483,-2344346.349164488,-2061895.753887739,-770493.3914798079,-645639.2028798278,-1036292.5981284091,-911438.409528429
2045,928263.76,396606.2408564627,1190435.1456389988,508620.532697839,-2583909.6866187276,-1103990.8608760661,-3140758.3735206053,-1341907.7913377392,-955098.0898254006,-408071.3686968026,-1224848.3487719377,-523323.7794672537,-1628811.596793327,-1359061.33784679,-2185660.2836952046,-1915910.0247486676,-695919.4921792636,-580667.0814088124,-933836.4226409367,-818584.0118704855
2046,928263.76,383342.5873346827,1202339.4970953888,496526.9070411922,-2342556.710800902,-967399.3418601645,-2989761.9391058367,-1234673.9435907628,-861873.1425882085,-355925.43269602355,-1116346.630638181,-461014.66435703106,-1480683.5682126936,-1226210.080162721,-2127888.7965176282,-1873415.3084676557,-611473.9091641409,-506384.6775031335,-878748.5108947393,-773659.2792337318
2047,928263.76,370522.5085392255,1214362.8920663428,484720.8352132265,-2701680.093558352,-1078393.1557725898,-3448104.4911818006,-1376333.3018387472,-1031036.9755834728,-411545.1050139935,-1348811.7251252825,-538386.9601249326,-1670643.1179748792,-1352868.3684330694,-2417067.515598328,-2099292.766056518,-666848.0507585963,-540006.1956476573,-964788.1968247537,-837946.3417138146
2048,928263.76,358131.17005531176,1226506.5209870061,473195.4799587849,-2027371.5895896696,-782175.2725934767,-2587496.980129613,-998275.8790544663,-774464.1450249029,-298794.1169045047,-1023292.4790079813,-394793.9676282621,-1252907.4445647667,-1004079.1105816884,-1813032.8351047102,-1564204.5011216318,-483381.155688972,-387381.3049652146,-699481.7621499615,-603481.9114262041
2049,928263.76,346154.23357366305,1238771.5861968761,461944.16659421293,-5019025.456882395,-1871619.88346268,-6405689.652337141,-2388713.949271818,-1821078.0086894473,-679089.1657514973,-2430235.662127406,-906247.1242301818,-3197947.4481929475,-2588789.794754989,-4584611.643647694,-3975453.9902097355,-1192530.7177111828,-965372.7592324982,-1709624.783520321,-1482466.8250416364
