,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2026-01-31,-52626.282477343404,-24438.93525315588,10063.037873102216,-11069.532628831843,-45899.06786143848,-3484.742174896434,-6204.932621072493,-12065.792734188872,-9456.942961178596,-27126.34910611022,-8328.514527063879,-11745.198201854637,-4273.203217899931,-9193.411156752603,-14646.710644102272
2026-02-28,-46954.26969469647,-25271.260362767804,35289.95461528653,570.8774284390972,-38355.94268171433,13977.261568440132,1583.6625116906562,-7831.4013859630695,-8437.682264136956,-22668.362124893294,13818.353826320428,-7444.010326003762,-3570.938263667607,-5338.463678389822,-12759.417440917701
2026-03-31,-45024.84297186714,-13328.061918845331,40540.499831743255,20739.519522594903,-31762.098151269103,22864.148289307126,13115.436024567762,639.8767584458751,-8090.964282044528,-18771.40000740003,31450.35406031617,34.783120361232434,-2957.0513378831315,-898.0571779280028,-11638.50346304851
2026-04-30,-36253.57735523772,24.88283081650734,27908.191478527835,31465.18130271915,-21905.210519833698,19727.92398673884,18526.188037494157,6458.648739894232,-6514.767850736156,-12945.979417221746,33196.1883352663,5193.199200315153,-2039.375099396509,1840.5195069387555,-8934.929451368584
2026-05-31,-30455.30598063408,-3358.426720770522,-6610.881503716137,18240.62760178001,-20437.509414479537,-6126.465765829541,9123.217110060945,-1527.499964359281,-5472.8184847199345,-12078.568063957306,2194.6794658141703,-1136.447126116442,-1902.7321264880302,-3178.193882753662,-7747.957590983964
2026-06-30,-27684.18324764902,15841.937113806684,-24413.13294088534,-100.08274551538052,-22723.132407008066,-10380.398683900317,-1004.7459090371423,4575.398943396798,-4974.847729602532,-13429.371252541641,-10118.337120742352,1273.8182423669691,-2115.523627092441,-1680.124885123685,-7535.839982048046
2026-07-31,-17284.035548158077,-210.39296387782346,-70218.42880369614,-24352.645721197816,-20222.813207652405,-49700.52529965245,-17506.32477261995,-12562.180202820648,-3105.9411880039775,-11951.682605722526,-59116.51527409645,-11854.617758867204,-1882.7439096324636,-11022.649632808436,-5422.5355427733475
2026-08-31,-22609.275900480192,-32123.909666714593,-106750.11594782048,-44238.73883574977,-29530.67191148737,-89344.67175765595,-31722.120509910288,-36316.095858765046,-4062.8868793162346,-17452.627099689,-106482.9720368694,-29745.060431180726,-2749.305554959467,-23899.67142984695,-7459.104070907495
2026-09-30,-34021.60394490534,-48363.30219786764,-129879.86612955773,-52314.721457983556,-40894.52135673697,-112725.61692330829,-38165.90828289087,-48960.00511068936,-6113.682228899521,-24168.662121831585,-132787.5120710533,-39550.82246172131,-3807.27993831221,-31616.99105634934,-10803.023611137669
2026-10-31,-41369.766074888954,-56771.69707731118,-125744.73148428563,-42132.46431069241,-44388.98858600858,-113449.18347666223,-32826.50439468747,-52046.87490423266,-7434.146963657547,-26233.892254331047,-128946.17746178493,-41056.33938410138,-4132.614837357398,-33113.81605797224,-12501.61134746242
2026-11-30,-51385.53982736113,-51197.39210568757,-54134.48692308172,-5743.658660917027,-43558.30328169142,-60440.084488972854,-8622.214188251433,-35623.821861868564,-9233.981506976823,-25742.957239479634,-61244.14250767354,-27118.395666403634,-4055.278035525468,-22415.989088787566,-14151.742090522503
2026-12-31,-43845.73537740456,-45268.713299291725,-1295.3752602621914,13549.536969211884,-32582.05849908488,-20539.169836618286,5296.684289129824,-23070.276365432936,-7879.078647319554,-19255.996572959146,-13897.831187021175,-16383.647748732335,-3033.3896462647826,-13243.12902328102,-11530.10747714166
2027-01-31,-49619.99359287181,-55590.518404553324,-16218.01745298594,4968.320681599452,-39448.80505741813,-35556.51905890845,-644.6758084691162,-31377.636625321516,-8916.712848639054,-23314.243788934087,-32308.044144246964,-23017.118581009592,-3672.6837508456356,-18220.72826150022,-13354.832796349636
2027-02-28,-60342.403988490274,-67932.09520716406,-40510.19792384721,-10731.472254569633,-52141.50788542369,-58069.018105503514,-11056.724797259309,-42674.26318512634,-10843.529996731704,-30815.63116028548,-61172.0379675535,-32581.669727609173,-4854.374384132972,-25524.22636410865,-16736.283385401108
2027-03-31,-69429.50787065367,-48851.20678960889,-12386.831089861225,681.6758748715802,-56755.857048243444,-29928.29430828259,-2402.0393559600298,-27540.511969666404,-12476.48256435646,-33542.711515511815,-28756.852213704067,-21954.085655466577,-5283.97029119146,-18127.218807040386,-18871.669510821328
2027-04-30,-63704.114992319504,-24581.9523344844,32586.198759424882,17638.52162091233,-47847.83125940584,12365.873086534693,10500.185463616319,-6711.442592543508,-11447.629464119773,-28278.068274308924,19873.07689767988,-6156.60764287482,-4454.633090250684,-6063.884571216822,-16812.76868702863
2027-05-31,-46390.307265874486,-20375.914505384506,23710.361839039928,7099.17357515421,-36271.26829386476,7918.411701197621,4494.4704336361265,-6586.402080025512,-8336.33821567768,-21436.31956167393,10851.911413320991,-6104.232828800807,-3376.8550781588015,-5252.821794973668,-12413.07364431451
2027-06-30,-43381.867542533735,29818.26547690422,3036.103649336286,-12646.409849511025,-38711.426045726876,15071.225312493929,-5323.449088244644,15275.67754126795,-7795.721597393292,-22878.452793024473,8990.27373551242,6508.556760263494,-3604.033764857154,2767.6938317807317,-12177.891233023855
2027-07-31,-14602.292573442519,-300.1657145347601,-55294.769873037156,-37832.83380078982,-21373.878880461783,-39195.87675255167,-23699.214718499723,-11244.689990327874,-2624.0319754475977,-12631.96241835293,-54936.786261628644,-11922.222811569483,-1989.9081237709875,-9710.711998600835,-5091.126069429275
2027-08-31,-35802.147011092144,-7978.1894698767,-100198.33418253892,-58141.270820797785,-43802.286133362606,-74248.66823515514,-37711.64605253281,-23569.68162566977,-6433.645817893247,-25887.151104817272,-98030.39870844141,-23299.74695438597,-4077.9928390160467,-19521.898879037704,-11459.665462503675
2027-09-30,-34760.99385167101,-34947.40153686296,-141745.70186773763,-73836.27293347855,-46848.852682954355,-115293.03693578676,-49829.3059780016,-45205.860915310324,-6246.55059514526,-27687.671935626055,-144884.33087294237,-39113.75362253091,-4361.628184783057,-31153.929414519494,-11640.101797305926
2027-10-31,-42062.44456687599,-48582.041119708025,-106125.10714720668,-49015.789752452096,-46667.42205386614,-96037.70302489505,-34878.557750996,-45202.0259238321,-7558.621288667641,-27580.44643383488,-115115.51167215324,-37071.63791973385,-4344.736993214932,-29354.932346077385,-12893.468788402957
2027-11-30,-52703.107548527456,-42489.72538247535,-38225.175444265726,-12688.301612975918,-46364.320829862394,-45425.382404677184,-10927.231378366036,-29080.34835761181,-9470.748426470413,-27401.313610448633,-49767.37461385505,-23398.32678925675,-4316.518269260173,-19037.154423121054,-14715.443992671939
2027-12-31,-52087.39464862365,-40211.631265291464,3333.287747794359,-4870.358591925849,-43916.738982499766,-15076.774359686953,-3982.4701583034475,-20966.20968526921,-9360.104818357671,-25954.792738657477,-16816.856380998528,-17053.561261250397,-4088.6483992707354,-13160.058949727223,-14316.914117017404
2028-01-31,-54205.75509540183,-47119.49566082235,6309.965661041581,8948.83292096926,-42219.51362185915,-15968.310629440752,3273.3811562954734,-23192.066267819948,-9740.774190643702,-24951.732550518664,-11514.811854475987,-17390.99405938162,-3930.6367181950905,-13844.257450066909,-14485.010450687512
2028-02-29,-59297.018211850416,-33220.82928605329,21841.373162905864,18687.54422041013,-43973.77049312438,1029.7006440889531,10012.48873667797,-12831.026970158573,-10655.674172669535,-25988.498361436614,9335.431338606884,-9909.270350329934,-4093.958032909886,-8846.582882301429,-15582.599905215631
2028-03-31,-46036.47539811721,-26747.202663618566,35394.88584470939,31201.662002671015,-29991.69317125232,13411.574494608596,17799.307442713598,-6487.010003784276,-8272.75462904166,-17725.090664210096,26942.218559084205,-3809.566133538424,-2792.226634243592,-4071.404362848657,-11604.647991101709
2028-04-30,-43740.9817655716,-18808.927806253727,65524.966110409514,47418.22569999445,-24079.8018631435,38139.71835299311,28688.70446141295,3425.980163009222,-7860.25442327319,-14231.162901117674,58186.880476381964,4466.29737566647,-2241.829553458682,2265.0272428758135,-10500.897664622265
2028-05-31,-41385.37271489285,-4803.976989288879,81501.3648259611,48740.923708482245,-21819.747547382918,55498.19022468525,30991.25381799191,13333.029858589696,-7436.951476866205,-12895.470800503355,75630.23198075569,11325.990629986118,-2031.4184966613232,7546.6768672264225,-9820.853733454765
