,Papallacta_SEMBAU-superficial,Mica_SEMBAU-superficial,Orientales_SEMBAU-superficial,Occidentales_SEMBAU-superficial,Bellavista_SEMBAU-superficial,Puengasi_SEMBAU-superficial,El Placer_SEMBAU-superficial,El Troje_SEMBAU-superficial,Paluguillo_SEMBAU-superficial,Norte_SEMBAU-superficial,Centro_SEMBAU-superficial,Sur_SEMBAU-superficial,Parroquias Norte_SEMBAU-superficial,Parroquias Sur_SEMBAU-superficial,Parroquiales Orientales_SEMBAU-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2036-03-31,10582969.583150022,2885149.8363131387,5976993.752861549,1606048.7783395369,9076079.882642077,5473458.540438429,1357171.6085482857,2544815.876069622,1901759.6340920592,5363963.210641469,6030690.597012526,2442722.4605658785,844983.0370739774,2315288.426061703,2927085.734493397,11014855.102326332,2795399.863979514,6008491.738329833,1579025.8439192462,9423467.620611291,5456805.254165146,1341268.1232425296,2500603.8057913105,1979369.4618880416,5569269.3637812715,6002445.6716564875,2435619.1052089054,877324.8354789111,2333727.9336784654,3043803.606207293
2036-04-30,11795267.683908757,3219229.526286924,7155731.460613513,2303270.6269548433,10243302.724835068,6451060.276568828,1817480.6789197011,2949310.356197636,2119609.6027984032,6053791.910377525,7290969.761718599,2845455.5389677673,953651.4836821447,2665206.190899947,3277553.3450220986,12266109.382550687,3317393.622798506,7199523.208101657,2240162.7504613707,10613663.526242958,6524553.282006975,1790746.9295708619,3003311.5602677558,2204219.856044358,6272675.144009589,7334158.69644934,2901830.3180785147,988132.0742932194,2728492.093202156,3403805.0273885913
2036-05-31,12323247.937193373,3142388.819738508,6268956.921870653,2299294.8239034847,10675205.747444862,5791243.618658259,1754647.4725682475,2772514.483327822,2214487.654313649,6309046.596739914,6648678.249602901,2752157.515071537,993861.6550871168,2586681.895651992,3421099.6170677673,12474194.516359568,3013916.4607360163,6109616.115454857,2231262.449876877,10782060.802757613,5622976.57129792,1703006.5847096897,2675831.07908386,2241612.7545898147,6372197.93442975,6454944.303246056,2690010.9998345994,1003809.860736734,2548366.0404298357,3460162.1430828026
2036-06-30,15396601.135844778,3322349.622023816,7804820.068776271,2040464.0561371546,13130728.589229215,6954343.93973776,1724229.9845280556,3085111.1924739024,2766769.2241113065,7760260.596234467,7662226.177757545,3116512.820733325,1222470.83165724,3052908.2453962206,4249713.284328311,15889104.083755855,3476377.6354878447,7980142.067301973,2016246.2115419211,13528513.62183959,7144980.075532826,1728940.340507605,3191347.2828032924,2855272.003850927,7995351.550507199,7836499.555677669,3212725.9214169844,1259504.6181932662,3147987.7000980494,4383008.075778673
2036-07-31,14169953.412608724,3134364.299812998,6641590.476410463,1754667.0042306622,12053979.553549211,6051030.595552927,1489295.035336086,2788078.5101613277,2546340.628245787,7123901.916147584,6657743.211266966,2819839.4889356857,1122225.4964354315,2756461.667116542,3907497.3573834337,14212143.865146143,3124734.856284692,6799742.82844501,1767262.0663173192,12091701.378513176,6158590.868495813,1505878.0350070698,2808157.0155568,2553922.252566762,7146195.514701287,6767775.5703376,2837608.122988362,1125737.3983395768,2777227.6379954205,3919349.5467243395
2036-08-31,11550451.512617778,2861043.6130749485,5358460.24064027,1522169.8574036008,9848474.404760107,5026014.566280342,1271452.1757929754,2431433.447896717,2075616.1368174145,5820448.373213224,5558896.967268852,2410367.47439328,916892.9670831661,2313117.28019694,3187859.806871459,11331064.808664033,2650410.3869306426,5684687.595575025,1574666.325065618,9681644.618402446,5165184.689008189,1312091.435470645,2374364.9039009064,2036192.3461169268,5721851.969475845,5717388.852672993,2367718.37721699,901361.1139732676,2289133.473975241,3129715.6478498685
2036-09-30,12453543.644193769,3093547.815995889,6294366.079860996,1728691.8071811793,10640240.347958995,5788022.613656011,1451293.2814063244,2711533.762062649,2237901.7928616204,6288382.0456437655,6390831.406062295,2669291.5786203467,990606.3763949823,2561603.506121842,3439693.749495961,12564665.919031488,3001663.913101362,6853757.832051676,1784584.6563467574,10745238.874116084,6143401.214673951,1513653.8929844864,2752927.678619651,2257870.4656499582,6350436.174602606,6760740.742243169,2711592.7112223012,1000381.7391802077,2619534.4217805294,3471581.6336044674
2036-10-31,10399657.43883488,2959678.4393348237,5547823.839943181,1873969.653659151,8992360.593035016,5202558.146371502,1474556.9380720085,2536531.5980399125,1868818.4417586278,5314485.110483695,5887330.554417824,2447608.6984446016,837188.7712115599,2278851.6772135813,2885122.5543687223,10385166.11139993,2698425.6755753625,5905995.293765715,1898521.1958335286,8986580.211901434,5342353.205407398,1500401.1707925305,2455830.903964326,1866214.3502185673,5311068.905233747,6033945.5377620915,2398636.4605661505,836650.6177280236,2263096.4563307953,2881904.8713024626
2036-11-30,9167395.557173971,2736271.6259131175,5152790.229955633,1669778.4189364477,7931287.554432648,4826620.047296992,1331475.1754433794,2344398.6985842413,1647380.9816241628,4687390.944669695,5431207.235215292,2232157.378802368,738402.8713176794,2069235.512518801,2543790.190066241,9259499.236153372,2396895.3165795626,5418617.319732938,1686718.6195750174,8011013.000686539,4867307.256128562,1344141.8868337735,2207922.8852013443,1663932.0127367608,4734508.683405745,5478203.558509043,2151206.852710223,745825.3103639167,2033617.4779862366,2569352.18255794
2036-12-31,8374200.943340702,2695412.495759062,5191424.835208909,1755113.9573221297,7302153.171839589,4836202.962986648,1377669.678102301,2334707.9313427126,1504843.9095183238,4315572.5245571975,5478595.091577254,2189448.7076071673,679830.4602982658,2002702.7067805007,2330482.839010683,8554551.227211552,2356929.576241806,5469519.616208948,1764242.0878346825,7452290.71001767,4885944.580152445,1387020.6239098778,2200048.263710258,1537252.855529916,4404303.809620443,5530893.722304448,2114001.6852109795,693808.265102645,1975721.2692570547,2379825.9651395204
2037-01-31,10354358.30259604,2947430.131653538,5402717.275699031,2230951.964497247,9043929.93547606,5094730.7173531735,1654227.1595442316,2532342.265004192,1860678.1869765082,5344962.591866351,5942010.350480251,2472769.7432867275,841989.8769928209,2272680.2939363555,2883344.2636131775,10802922.55965142,2780004.878069545,5550579.179105095,2220725.652938049,9409166.531413304,5126616.304680898,1651693.2365278178,2466304.3212384433,1941285.1839693603,5560817.420065262,5968367.171903545,2454604.8192834263,875993.4040745787,2289826.4032413675,3005096.7138480693
2037-02-28,8920573.7180964,2817449.77311661,5885274.733895017,2358107.412389746,7899968.083446089,5379311.076142878,1747913.4403253463,2546806.741588774,1603027.0971419232,4668881.137316639,6274997.7620195,2417133.966395501,735487.028568831,2187553.840403307,2496967.6354145473,9148504.984201662,2535846.3722777427,5977872.407691278,2329057.370976231,8079629.993234537,5322656.258416289,1727211.5157537467,2410957.6785103153,1643986.3456610388,4775061.326001611,6206982.380260138,2338848.8437873907,752213.5523701353,2153333.0437105307,2558129.538274418
