,Papallacta_tri,Mica_tri,Orientales_tri,Occidentales_tri,Bellavista_tri,Puengasi_tri,El Placer_tri,El Troje_tri,Paluguillo_tri,Norte_tri,Centro_tri,Sur_tri,Parroquias Norte_tri,Parroquias Sur_tri,Parroquiales Orientales_tri
2039-01-31,2146.863323697187,88152.82769171002,63083.15268142842,828615.2687177014,207671.10751544763,82782.49817378531,447712.9025307013,112959.88969780643,385.791339268484,122733.62454162989,450260.5784455148,147715.05059442663,19334.18010968829,68100.06319116689,25066.968127954024
2039-02-28,2116.6767153646542,98114.78929930316,55886.73403254049,822551.6313081383,206139.54361899977,82016.73875523695,444424.2121507693,116676.66695843774,380.3668057507939,121828.47027882916,446812.30471665127,149563.9190343504,19191.591510928924,69166.83230293423,24879.594161446807
2039-03-31,2116.1270947885896,117361.42804120206,60680.94011755507,903737.8517631443,226313.868768156,93747.26324891303,488625.6274434995,133109.95358823682,380.2680389331208,133751.4964419812,494443.64485284005,167533.5108165436,21069.821182315467,78023.26281350429,27278.225449965445
2039-04-30,1971.924986983908,93867.63679883313,31045.049163704323,996550.8211625882,249259.66035573187,62624.94778645147,535050.1615507249,122584.05988932484,354.35492016129297,147312.459270237,505658.78913579957,168593.28509700295,23206.07437911862,73820.43144116583,29981.300292216798
2039-05-31,1464.0833085606082,-43128.42267210152,-31347.600987725662,881866.4466387673,220344.21389442307,-40843.2513261844,464592.22599649563,33095.44349147596,263.09577054895215,130223.43041160583,354000.40521524125,99319.8771979552,20514.046313570976,30174.338886946516,26454.577192289886
2039-06-30,1057.1190183445035,-65537.81354409477,-60319.46375777331,892632.7303867545,222685.9653842463,-71026.34331623194,467528.41164103156,17605.04852926592,189.9642875963783,131607.40554209208,329502.6948655656,89879.52798890264,20732.063377273586,22233.15404188179,26661.94958244408
2039-07-31,1068.0664301218155,-53733.234003337966,-39057.675126237635,876650.2779297464,218723.30173159693,-50887.604417134076,460895.51104174927,25977.58652294051,191.93153749268708,129265.47132337517,341919.69124432234,94114.67782674296,20363.139391211655,26604.21757811746,26192.70045086893
2039-08-31,1264.458393769877,10568.270105255333,-3184.4352815387356,836954.4423079743,209019.90835058287,2331.5415642208936,444723.30364768556,62566.755792185664,227.22317336041274,123530.7658351964,375872.93594935385,114877.51593990697,19459.753467439303,43266.89212630363,25073.25986043902
2039-09-30,1675.3374010036932,69717.89734769153,41935.84206809546,850777.6487666825,212791.85485360434,59850.380921334145,457369.526678054,101543.24665314014,301.05813096047495,125759.98621847999,437889.41748802393,142003.88615204045,19810.921686870548,62529.435856520955,25593.489727947686
2039-10-31,1954.9287275204642,90458.0539507928,55046.21595463619,916161.8375305725,229269.06269004074,78103.71795961859,493778.923912965,118952.75715471385,351.300692335273,135498.0160498129,484799.04717397015,159295.90090690387,21344.949736442708,71951.93361115553,27601.450436588537
2039-11-30,1824.2608704651707,120277.22393350434,75364.36364048619,921471.0334740451,230481.26330599465,105385.09948717739,499115.0661944307,138115.25416271787,327.8196784224963,136214.42661384214,513657.2610182642,172469.26579105994,21457.805613788067,81264.68424579102,27722.764588605485
2039-12-31,2070.6027264098016,151853.23269269543,76410.6521467811,1030230.0256846892,257709.8485580296,119812.50211398397,558211.1736616563,162350.26761888817,372.0873099358015,152306.52049779412,576216.9808512552,197972.79658684114,23992.78690075245,93803.4309099128,31003.258232613924
2040-01-31,2263.0792846441864,128181.13868426708,85713.59576258135,1030085.3145032693,257831.69935954383,116123.17902589354,557789.757918493,151321.54077611823,406.675347450784,152378.5343214882,572566.7396722273,190805.9859771674,24004.13121037335,89636.9449268827,31051.355488966765
2040-02-29,2527.081496829115,149908.69045984675,86811.98003404103,1058672.6000412223,265152.09522949386,126318.08120839398,573915.1350715464,164878.43600184555,454.11654498005134,156704.88828063055,595228.2447792152,202239.26217737465,24685.66006586595,96041.96972666019,31967.84916954396
2040-03-31,2666.862359354839,170010.21182131322,99664.71381448786,1028348.8753648478,257731.25597659967,144112.5471344746,559451.7035982473,175337.47068373556,479.2351659761548,152319.17228217045,598969.3064842662,206524.40686801577,23994.779931421413,100570.48101158308,31109.919146396704
2040-04-30,2575.69673697727,130897.42248091838,81362.71658878672,1063619.4004729749,266421.2347721821,114226.7919154552,575425.8268109529,154385.69454933915,462.8527036347297,157454.9497503588,585695.6233318744,195758.27121873936,24803.816957290157,91402.45897596615,32127.238786534257
2040-05-31,2309.3095226677137,70512.47946294757,43147.690288534686,1040668.736725019,260499.58395380405,61051.00303603734,558331.3163698766,115192.5743739173,414.9829212230016,153955.25411669654,523820.43752127804,167742.9357511444,24252.51126609888,72246.98620914968,31376.639436659796
2040-06-30,1791.2490721067416,-22969.92443668654,4153.715277102334,1082141.0288687795,270380.6907881107,-7022.8624000313,574073.9979553092,62903.09770951078,321.8874582574703,159794.98825577414,476234.97001325025,136800.9422889708,25172.442312373314,48766.11983937677,32461.042177895262
2040-07-31,1444.4978341686074,-61710.058681093804,-37845.932317324456,1094811.4353810044,273244.98546641483,-53489.46162044507,576519.7943771131,36957.04614544645,259.5762608004443,161487.78641065137,436777.4021622586,120581.49621297725,25439.10814692319,35734.96532536699,32741.05902457651
2040-08-31,1642.7167894186764,17032.25146220987,13809.19013787522,1107260.949687704,276501.209493038,17139.673841276537,589646.8810217362,87144.09574853892,295.19620705837025,163412.2148103852,510910.78810856614,154973.34858723197,25742.26260380185,60057.67430981687,33162.835963120924
2040-09-30,1863.5941014353498,21338.060122721523,16359.403070587434,1109263.3421606107,277179.9013306777,20807.96733256995,591048.7784320096,89937.1119902958,334.88786002765124,163813.32168643142,515366.33628702175,157012.14173427023,25805.448813886123,61437.685109615435,33282.10080180664
2040-10-31,2035.8033381401667,79382.81357044553,51616.76350372532,1066384.8096234424,266665.78034836496,70879.69309817009,572895.3128429275,122923.2929942927,365.83385986356626,157599.47618588404,544842.4282583853,175125.90420567145,24826.584150432773,76473.16604374869,32062.042045050213
2040-11-30,1890.2314025524747,46575.57925475045,38566.04524659566,1028195.522863418,257056.38815851128,47437.42457365477,550449.1158619052,101046.3599382164,339.6745830386366,151920.3254016816,505033.07699603273,157310.3495709627,23931.94973755752,65715.69160364158,30894.066344385614
2040-12-31,1913.5395429891846,109862.42528630825,56563.18768381142,1088525.8978461926,272067.59668607765,87587.2534602272,586198.1947995414,141229.84170703965,343.8630558750593,160791.94964147112,570950.0349703823,189111.60486752604,25329.493251473647,84937.52847641738,32682.96897736813
2041-01-31,2832.3853082071373,105893.00137731907,55220.844466311304,830989.789878601,208823.23549903187,84918.1427125173,449174.34165006573,121243.93831443315,508.97963988490136,123414.53217992716,453396.90285624185,153337.97620626804,19441.44322495986,71297.5322938606,25323.658216910848
2041-02-28,2629.7868327438496,87979.85508494,55402.22764446849,794453.3554776151,199577.82106035424,77280.9410101381,429063.3140799577,109342.99526839913,472.57269384402963,117950.4922466683,429670.50818266196,142302.28858546543,18580.695140718904,65509.14348668401,24189.001810684014
2041-03-31,2163.2062140451626,11825.068179353826,-7860.33095121372,804424.9336724614,201673.2087925029,-427.1567612831248,427193.34599560767,60275.052990990975,388.7281566636695,119188.86639636845,358674.38545877725,110522.54779440045,18775.775738581942,41466.58181119903,24356.67167525857
2041-04-30,2022.0667676995922,51369.79314494627,17291.0409837378,731001.5564971546,183311.77933238033,34484.92578334424,391418.7730246942,79884.21895797072,363.365398155667,108337.2615854368,359796.3114220966,117080.53035429167,17066.32665584451,49647.25447579136,22148.85272000771
2041-05-31,1631.7400199884044,35796.264459782964,5341.9471462437,668235.6429924238,167394.42092600613,19291.76630213805,356682.6067626196,65549.45341348182,293.22368159184003,98930.10276726962,317026.99499831063,102037.85989094818,15584.420588211151,41634.52104447631,20188.122099504988
2041-06-30,1538.3897599100678,85556.96695572158,48102.74225268639,606458.4958798086,151966.26199028295,71073.53257682794,328647.6197831151,94033.32282804837,276.44863985585494,89812.0608362571,339725.4184318469,115572.23298495325,14148.058991295327,54760.956224870715,18337.41369399264
2041-07-31,1615.7568074949293,113233.57762417068,72103.60765854924,587094.9197345554,147217.8465605026,100027.95471084259,321033.5128315573,110939.5398761402,290.351498306897,87005.747317257,359193.6422735906,125128.61515747824,13705.981514782761,62836.3196720381,17786.336506948628
2041-08-31,1778.121645468313,133338.83333511392,91395.93765497532,569986.503150268,143099.52796996085,122373.61420401171,314007.45498741884,123296.9077640652,319.5284596905727,84571.82103024676,373251.85284679034,131871.6931163819,13322.566054003377,68782.1778016873,17325.01967990973
2041-09-30,1561.7525425842305,105956.8341653365,87281.38131262489,541790.4379868134,135915.40474938834,107596.5835080422,297667.060450147,106330.79852531578,280.6469319024114,80326.00420688825,346315.952014434,118218.20674776228,12653.724182168033,60781.23040644071,16433.04624843176
2041-10-31,1533.0694323398704,113710.19360374594,87274.31993389581,496371.4314455828,124605.26434180253,110952.67596052057,273855.4767999623,107286.14524701417,275.4925769913138,73641.71122600506,329300.6489534977,114837.97824530624,11600.750110221807,60272.42171470855,15083.262067302867
2041-11-30,1385.685363255344,29998.11174771328,23639.79410622078,569014.4696187212,142536.21912958476,29705.695978678534,304943.09571249026,58493.00961505838,249.0076597768613,84238.90550558458,282843.74073369947,88779.88146307154,13270.122000964406,37610.560761862514,17189.517197512974
2041-12-31,1192.9389641607647,-45661.85190093017,-20551.794701624058,613856.5787424613,153521.4504742169,-34314.255755750186,322852.3220532882,15008.244743398694,214.37113185962662,90731.17723026243,240701.02059360134,63889.20251501433,14292.847039149592,17680.715597146667,18462.004890212476
2042-01-31,1233.2993544294595,-17139.571150896994,-48361.95957213753,573065.7026589153,143418.00925143735,-41597.728531628774,300524.37050680985,22934.066467202494,221.6238939910165,84760.04346759916,215427.32274081578,65290.83396682895,13352.216661308767,18737.378356060435,17267.75323778681
2042-02-28,1295.5753447290072,18482.256274606356,-22457.62678820049,546551.4367394809,136880.27425490448,-7854.255230822234,289554.8607877171,43818.808341201475,232.81488944778394,80896.24208464849,236353.8688688593,76838.46864813413,12743.553533131628,28457.62403855968,16501.290836984455
2042-03-31,750.5240869469902,-77574.47695229627,-74433.40332895481,607396.8397123048,151553.46936739495,-86215.73521072668,314639.5538290362,-10486.024504276798,134.86917842425223,89568.10039613028,187429.40715604188,46187.923854202956,14109.627998104519,3812.672720641514,18150.7598884584
2042-04-30,246.2864679315852,-106796.0087420719,-69891.0802590127,730643.7078027531,181766.89166404278,-95674.11799268005,379219.433046649,-16686.399490290376,44.25767828742974,107424.23297344966,233258.676461047,52994.72483408031,16922.497613922253,3856.7140462547336,21655.088604845987
2042-05-31,459.7266896154628,-18234.107730109852,-31636.98003859124,742311.0563822628,184841.22742380865,-30256.012098267718,391453.8106221343,36552.99929304585,82.61288612382955,109241.16540747086,301986.20661931374,89223.16180616987,17208.718273156494,28741.625187843583,22057.896882137535
2042-06-30,897.1480648451951,57983.063049080985,27797.976375364622,725937.0837699593,181130.9370152005,44774.928140971286,389677.17448289186,84626.36157982165,161.21750725259287,107048.38377598354,367525.5859540149,119756.86924682869,16863.29023611525,52026.30657815116,21693.123462904576
2042-07-31,1190.8093511472896,108169.05190114034,73620.21146928148,695110.509385053,173711.306169191,98903.96340219035,378296.0842611405,115930.08194490739,213.98844040113863,102663.38194599167,406318.6597250068,137913.22160194215,16172.522604351747,67166.20570321372,20862.206871054736
2042-08-31,1493.6338009582316,151157.47098779358,110053.7053569343,683454.4549135957,171063.06239943448,143279.70650788213,376197.5664394221,143325.16307023534,268.4059940323318,101098.26987806591,444200.1443864768,155129.63219163712,15925.97110938737,80530.42138203292,20600.20822369394
2042-09-30,1572.650871961046,166848.70693977314,127723.73670840541,652212.755579047,163364.2862113139,162565.73444288116,361382.87052236305,152141.66000195357,282.6053616913771,96548.29315088649,448978.5298253157,158288.17964184115,15209.215046273284,84596.85587951374,19698.62126048079
2042-10-31,1677.1895481044817,63403.47375386259,69700.51650479654,784253.7698220517,196262.18951127044,76728.82078293865,423590.1900228334,97914.80977004251,301.39096179437314,115990.95400116136,424577.0832016689,133959.25066049682,18272.0098434993,61143.587732565305,23628.43593046581
2042-11-30,1500.9773254304828,9947.310696585078,19139.260976942074,775167.3973542891,193859.74955166128,17834.04706717832,413334.3438572974,61422.1727224646,269.72562537986573,114571.11198503221,363340.45366187784,108853.08429668556,18048.342683259627,42757.704560783815,23312.016611874013
2042-12-31,1236.6195945106135,-84343.92747681783,-32558.398514595377,829870.5543276955,207236.7371559714,-59565.601111761105,435245.7640081698,7666.355843011258,222.22054113337458,122476.91165917895,312608.1566156215,78038.56611347818,19293.740229220886,18260.730133119363,24856.379747664585
2043-01-31,1597.424648150795,27385.62062082816,14654.002658489237,777581.134674667,194538.6404356722,22224.719417351782,415024.01418541255,70068.57268265948,287.05720927253503,114972.33649748312,368683.24825030135,114708.6868185125,18111.54742456121,46241.46096408041,23409.57783805187
2043-02-28,1810.974680169007,40663.989605018476,28821.30597578383,790761.0480311953,197988.938576023,37990.0921656667,423477.20348095475,80130.48020134433,325.4321500263209,117011.46269842939,389872.937866548,122583.16964327655,18432.770181427735,51550.96557321462,23857.107216869794
2043-03-31,1349.3250284525411,-36139.717162592875,16955.153885212367,748117.4102312365,187013.48803328836,-3687.75117008059,396978.03891812847,34996.01892017436,242.4737076127475,110524.97142767384,330365.4048153364,89114.86852583945,17410.95573589914,30875.839457894162,22471.515428845247
2043-04-30,440.74456015739383,-56707.16140979326,22566.830116922403,805114.5211429456,200432.3249688942,-8639.088993539279,426789.2089640855,28958.750556198724,79.2017974602162,118455.50405661676,350998.1680274873,90171.94920988884,18660.249454604265,29683.404052387617,23908.363825393848
2043-05-31,327.50395260538335,-60556.71043293688,31325.76581409554,746360.7181671902,185739.1589552894,-4119.6804250185705,396000.0281081502,24242.768044911285,58.85246028350019,109771.842942575,329157.50113318925,81955.57520071545,17292.31569873733,26964.071190006318,22141.572935441964
2043-06-30,703.4650031744968,8104.1646018161555,22058.018686186988,752911.4196027227,187675.25872737984,19097.145556678297,401630.003166141,59372.09014267137,126.41266107064439,110916.07790788112,354631.4075014781,105522.92547499819,17472.56658751896,41531.40495753323,22437.42344544793
2043-07-31,1124.5453381456175,57529.44156976358,51172.85203721466,730377.7121663094,182420.8761960754,61092.632884784005,393536.76892089297,88280.96199091934,202.08079726501538,107810.73783187909,385347.81249727623,122726.49622832607,16983.383573854586,54937.17924815427,21886.204090415755
2043-08-31,1646.5450540913475,159826.66650641648,88291.96107168272,709501.1697856042,177661.04298157254,131663.1304276747,388964.09806970117,146332.4076378482,295.8841462203612,104997.67640210937,444552.16515166836,159249.65240616744,16540.243101584332,81175.24528501253,21411.408635390675
2043-09-30,2115.5580554199405,170997.6357875041,93307.06483309774,735939.0832068076,184615.40822652925,140048.91641846485,403779.2115003658,154792.206365258,380.1657825591518,109107.70626187863,464496.1291943157,167190.73728616897,17187.69450588993,85602.0562496372,22320.17912904711
2043-10-31,2154.8796791000213,159350.1200061764,76134.83177186083,708687.7348133804,177875.6879500193,122867.53566949662,387722.75983680494,144159.83715790755,387.2318783342347,105124.53157846107,435650.83600996266,157693.72434739093,16560.226548146748,79628.32866012523,21525.692513434926
2043-11-30,2067.7998808922002,150731.13330517538,54962.7919342306,733106.8460574695,183872.44036762416,104173.15878932863,398969.94586238463,138055.6587779142,371.5836385964471,108668.61225726687,428402.53955971956,155686.38553516663,17118.524198225838,76387.18355627233,22223.50098133456
2043-12-31,2026.6446683940478,118154.02377697696,39670.21662055034,652736.006148396,163866.54349149225,79246.77734973894,353984.6332992058,113057.72757558439,364.1880469102141,96845.12720347224,368323.1551722382,132094.31195572676,15255.975199057864,63348.10555085312,19837.613546321238
2044-01-31,2435.753109426361,150750.53556119217,64454.633229468294,633651.8741929074,159459.56471135782,110887.55554239608,346767.1580197723,132690.30155585098,437.70483376394424,94240.6027444116,390524.7384371961,143487.25169552857,14845.685474627297,72655.21876116958,19385.06003114897
2044-02-29,2745.179942813803,156099.3553081397,73003.94248225083,609497.4979104763,153710.901265866,119246.35588978966,334708.9615494567,135155.62429849527,493.30883572363336,90843.14264812751,387857.5765342551,143052.94530430756,14310.484907852146,73700.29028895844,18755.574356184112
2044-03-31,2208.952435639198,92223.8997321109,65214.8835781948,585983.1863088331,147427.9418997248,86053.37578186528,319152.81606046186,98758.85600781359,396.9487526843528,87129.9136627371,345128.02782233583,117026.44478023282,13725.541390864419,57327.578298355504,17914.897394860393
2044-04-30,1647.0747443571067,22243.670787201445,40248.2851908594,571835.7259169471,143451.6144732592,38078.04477359386,307210.06377046317,57158.94824720154,295.9793315608081,84779.90415369632,292228.98379980295,88288.4344687532,13355.34530746032,38013.09968048398,17344.000077347995
2044-05-31,1242.6299344809418,-25170.257026834963,9086.174865682882,640352.4869021743,160146.4252784702,-4491.923878527996,339672.4798532383,32152.42254735151,223.30059922587634,94646.53733957643,281481.6345235706,77684.70405656799,14909.632193425627,27076.895373450527,19258.39115787814
2044-06-30,1287.686879885647,-16197.650216602768,-141.95012426426015,564802.6165383367,141409.22468259453,-7121.96913169021,299307.91711174767,30263.425928219058,231.3973323153235,83572.85178741439,245205.5371101715,69719.85501037388,13165.198817949466,24269.061347940587,17038.40560257135
2044-07-31,1366.6885621409244,-1083.5234233866033,23525.76808878864,543525.365982543,136186.60139876185,16151.2477506917,290152.04750982195,40381.68142861311,245.59393461689731,80486.28142666764,258302.32067247276,74654.02507133479,12678.972590224685,29408.996451715313,16431.23053258026
2044-08-31,1673.4525737303672,74157.18066313556,51708.123195140855,529994.4027076843,133075.67283806208,68678.92685483632,287814.75823032705,83339.65796914864,300.719427499536,78647.72264729488,303266.0575447006,101850.9346550257,12389.345141223603,48895.23730956551,16114.906568146649
2044-09-30,1852.8257087155557,97218.76884858652,61635.86936270537,593898.5007945601,149102.9092460227,85690.07800061336,323324.29791139497,101379.56161234871,332.9527798562946,88119.81936440014,348309.5880802753,119397.23139920007,13881.48085080482,58376.5268095991,18051.866125538356
2044-10-31,1896.0995388524839,102635.45456448461,59173.58603374267,588122.5586288049,147703.0678311634,86298.6080865436,320313.8557079875,103452.88724398497,340.7290871318756,87292.51308821759,346322.9721870809,120232.09056700671,13751.155615081308,59011.76845331601,17892.981219091533
2044-11-30,1676.699154357436,118881.93385600571,53255.01718885638,599564.9801434249,150366.62320229854,89159.98797050498,326657.70261907426,111872.88009583062,301.3028380381297,88866.67431255884,354211.3323041815,126707.43500443197,13999.13262013408,62477.467403817674,18171.367466475167
