,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2035-12-31,-305673.4981439989,-41048.75663999992,-352243.0197359994,-323644.4639999999,-331047.35043226555,-266654.3294469239,-196429.42625450413,-97887.11444758787,-54929.52761647664,-195648.98410546966,-403327.91069479194,-112290.2889589353,-30820.508325243834,-92404.19614266045,-92736.5519513269
2036-01-31,-359413.93353600055,-42709.230719999876,-289851.7005359996,-209682.29376000026,-346789.5341055244,-223294.67794580478,-131915.26690264815,-81353.92312616366,-64586.68385641929,-204952.61465636548,-310366.2471084576,-93940.54154339083,-32286.10562522465,-84246.76806203951,-103992.15630842978
2036-02-29,-362842.3753920011,-50004.008639999956,-333272.3052240005,-229257.3888000003,-354464.9247007035,-257133.6213861974,-145426.45977770397,-93199.38920535613,-65202.77485794271,-209488.77049811557,-351954.1167895887,-103938.88212617184,-33000.68448963517,-92277.06339407992,-105503.41587637691
2036-03-31,-294079.61519999616,-32337.126719999942,-127072.85119199939,-36528.55487999972,-250193.22239015996,-103795.11380026769,-28956.769605719484,-39018.05560760386,-52846.10685143946,-147864.1944325827,-117068.71952276584,-46096.91084797494,-23292.989004523493,-48638.62190590799,-81098.53616973339
2036-04-30,-97336.57248000056,-18147.888000000094,34385.471999999136,114860.3328000009,-51263.46307555307,16426.226519999094,62509.64812128083,3626.9153049597517,-17491.3820746555,-30296.7066776501,67214.55001890473,7336.330280236434,-4772.628412333899,-2438.670684517361,-23091.601721625775
2036-05-31,-81495.22147199884,-14684.06016000011,34916.96160000004,196195.47839999944,-18063.355702491477,18303.293291040696,105880.19026982365,11117.50413955166,-14644.69129851833,-10675.443220172077,105344.46214800049,20306.08912005555,-1681.6984159022104,3721.2661301423796,-16377.979527797084
2036-06-30,-16132.919039998204,-2370.1247999999905,43430.962320001796,158525.42400000105,26166.18754310347,29656.525778282434,86920.82323272107,16311.137725081062,-2899.0855514877476,15464.216837974265,99552.09205741808,24090.356052300893,2436.072060262901,11080.25680212956,294.11826849449426
2036-07-31,-84634.33305599913,-4522.210560000152,-61264.201608002186,20803.132800000254,-64222.11117181275,-45243.53671381343,6885.030082104262,-10352.65803591581,-15208.789650163148,-37955.267702542245,-34633.707916111685,-10108.676765813027,-5979.07855009567,-14321.038706145715,-22414.38992139185
2036-08-31,-161487.35164799914,-13926.072960000136,-228665.60107200127,-118562.85792000033,-161866.34980931226,-167589.19978552777,-78390.43343668804,-50567.76726602414,-29019.27709114505,-95663.01273730397,-215611.3503919281,-54256.90491955937,-15069.75716724724,-49560.81947934721,-47443.94054179359
2036-09-30,-170193.98592000268,-18636.22080000001,-340361.4103199998,-210432.55679999944,-191834.53942060936,-248544.13810788095,-134631.53504135995,-76501.11803292017,-30583.859269824345,-113374.21279758122,-335207.1381878434,-80655.4229567144,-17859.79562005878,-69116.62354964274,-52527.46278959885
